,Date,YHOO-Open,YHOO-High,YHOO-Low,YHOO-Close,YHOO-Adj_Close,YHOO-Volume,Nasdaq-Open,Nasdaq-High,Nasdaq-Low,Nasdaq-Close,Nasdaq-Volume,sp500-Open,sp500-High,sp500-Low,sp500-Close,sp500-Volume,DJ30-Open,DJ30-High,DJ30-Low,DJ30-Close,DJ30-Volume
18,12/5/16,40.02,40.389999,39.849998,40.200001,40.200001,4401700,5283.580078,5321.089844,5269.569824,5308.890137,1798160000,2200.649902,2209.419922,2199.969971,2204.709961,3895230000,19244.34961,19274.84961,19186.73047,19216.24023,317800000
19,12/2/16,39.77,40.32,39.580002,40.07,40.07,8568100,5249.02002,5274.540039,5239.27002,5255.649902,1848930000,2191.120117,2197.949951,2188.370117,2191.949951,3779500000,19161.25,19196.14063,19141.17969,19170.41992,84920000
20,12/1/16,41,41.040001,39.529999,39.630001,39.630001,12614600,5323.879883,5326.339844,5238.209961,5251.109863,2264960000,2200.169922,2202.600098,2187.439941,2191.080078,5063740000,19149.19922,19214.30078,19138.78906,19191.92969,108800000
21,11/30/16,41.619999,41.669998,40.880001,41.02,41.02,7624500,5391.350098,5393.149902,5323.680176,5323.680176,2064430000,2204.969971,2214.100098,2198.810059,2198.810059,5533980000,19135.64063,19225.28906,19123.38086,19123.58008,164570000
22,11/29/16,41.43,41.830002,41.119999,41.599998,41.599998,7246100,5370.97998,5403.859863,5360.560059,5379.919922,1788790000,2200.76001,2210.459961,2198.149902,2204.659912,3706560000,19064.07031,19144.40039,19062.2207,19121.59961,81510000
23,11/28/16,40.849998,41.700001,40.740002,41.450001,41.450001,6765800,5387.919922,5396.27002,5364.910156,5368.810059,1625620000,2210.209961,2211.139893,2200.360107,2201.719971,3505650000,19122.14063,19138.7207,19072.25,19097.90039,88460000
24,11/25/16,41.080002,41.080002,40.709999,40.869999,40.869999,2586900,5388.490234,5398.919922,5379.279785,5398.919922,768070000,2206.27002,2213.350098,2206.27002,2213.350098,1584600000,19093.7207,19152.14063,19093.7207,19152.14063,45890000
25,11/23/16,40.91,40.98,40.549999,40.959999,40.959999,3634900,5366.549805,5380.680176,5350.680176,5380.680176,1616740000,2198.550049,2204.719971,2194.51001,2204.719971,3418640000,19015.51953,19083.75977,19000.38086,19083.17969,77880000
26,11/22/16,41.200001,41.400002,40.830002,41.009998,41.009998,8881200,5384.75,5392.259766,5365.600098,5386.350098,1886800000,2201.560059,2204.800049,2194.51001,2202.939941,3957940000,18970.39063,19043.90039,18962.82031,19023.86914,85310000
27,11/21/16,41.439999,41.48,40.939999,41.110001,41.110001,11338000,5336.779785,5369.830078,5334.160156,5368.859863,1745320000,2186.429932,2198.699951,2186.429932,2198.179932,3607010000,18898.67969,18960.75977,18883.09961,18956.68945,80520000
28,11/18/16,41.48,41.650002,40.900002,41.189999,41.189999,8129700,5340.970215,5346.799805,5315.529785,5321.509766,1858610000,2186.850098,2189.889893,2180.379883,2181.899902,3572400000,18905.33008,18915.74023,18853.83008,18867.92969,109880000
29,11/17/16,41.34,41.650002,41.200001,41.450001,41.450001,8689300,5295.069824,5334.049805,5288.160156,5333.970215,2081760000,2178.610107,2188.060059,2176.649902,2187.120117,3809160000,18866.2207,18904.0293,18845.26953,18903.82031,89940000
30,11/16/16,40.099998,41.049999,40.099998,40.98,40.98,15592700,5253.740234,5299.629883,5251.879883,5294.580078,2057140000,2177.530029,2179.219971,2172.199951,2176.939941,3830590000,18909.84961,18909.84961,18825.89063,18868.14063,87320000
31,11/15/16,39.610001,40.450001,39.580002,40.209999,40.209999,10851400,5241.350098,5287.060059,5236.25,5275.620117,2156500000,2168.290039,2180.840088,2166.379883,2180.389893,4543860000,18858.21094,18925.25977,18806.06055,18923.06055,100660000
32,11/14/16,40.360001,40.389999,38.869999,39.299999,39.299999,12687400,5246.330078,5247.169922,5192.049805,5218.399902,2369190000,2165.639893,2171.360107,2156.080078,2164.199951,5367200000,18876.76953,18934.05078,18815.75,18868.68945,112250000
33,11/11/16,39.84,40.52,39.369999,40.419998,40.419998,15178200,5191.819824,5241.080078,5179.640137,5237.109863,2285050000,2162.709961,2165.919922,2152.48999,2164.449951,4988050000,18781.65039,18855.7793,18736.96094,18847.66016,107300000
34,11/10/16,41.549999,41.650002,39.540001,40.16,40.16,16441900,5283.47998,5302.680176,5145.319824,5208.799805,2984360000,2167.48999,2182.300049,2151.169922,2167.47998,6451640000,18603.14063,18873.66016,18603.14063,18807.88086,164390000
35,11/9/16,40.439999,41.389999,40.220001,41.209999,41.209999,23998600,5143.859863,5258.990234,5143.859863,5251.069824,2824560000,2131.560059,2170.100098,2125.350098,2163.26001,6264150000,18317.25977,18650.06055,18252.55078,18589.68945,173110000
36,11/8/16,40.970001,41.279999,40.68,41.16,41.16,4227100,5154.990234,5214.169922,5145.299805,5193.490234,1736100000,2129.919922,2146.870117,2123.560059,2139.560059,3916930000,18251.38086,18400.5,18200.75,18332.74023,79820000
37,11/7/16,41.169998,41.23,40.860001,41.049999,41.049999,5388700,5128.990234,5169.410156,5122.77002,5166.169922,1914310000,2100.590088,2132,2100.590088,2131.52002,3736060000,17994.64063,18263.30078,17994.64063,18259.59961,93450000
38,11/4/16,39.959999,40.669998,39.799999,40.279999,40.279999,4574200,5034.410156,5087.509766,5034.410156,5046.370117,2015130000,2083.790039,2099.070068,2083.790039,2085.179932,3837860000,17928.34961,17986.75977,17883.56055,17888.2793,97760000
39,11/3/16,40.619999,40.75,40.169998,40.23,40.23,7811600,5104.700195,5115.060059,5053.52002,5058.410156,2107720000,2098.800049,2102.560059,2085.22998,2088.659912,3886740000,17978.75,18006.96094,17904.07031,17930.66992,77860000
40,11/2/16,41.799999,42.16,40.360001,40.68,40.68,13017500,5147.279785,5156.700195,5097.560059,5105.569824,2105870000,2109.429932,2111.76001,2094,2097.939941,4248580000,18017.7207,18044.15039,17931.89063,17959.64063,88610000
41,11/1/16,41.130001,41.34,40.689999,41.330002,41.330002,11748900,5199.77002,5201.129883,5112.319824,5153.580078,1878650000,2128.679932,2131.449951,2097.850098,2111.719971,4532160000,18158.24023,18177.00977,17940.83984,18037.09961,101280000
42,10/31/16,42.029999,42.16,41.549999,41.549999,41.549999,3730800,5205.089844,5206.709961,5186.560059,5189.140137,1707260000,2129.780029,2133.25,2125.530029,2126.149902,3922400000,18176.59961,18193.67969,18130.58008,18142.41992,110080000
