,Date,YHOO-Open,YHOO-High,YHOO-Low,YHOO-Close,YHOO-Adj_Close,YHOO-Volume,Nasdaq-Open,Nasdaq-High,Nasdaq-Low,Nasdaq-Close,Nasdaq-Volume,sp500-Open,sp500-High,sp500-Low,sp500-Close,sp500-Volume,DJ30-Open,DJ30-High,DJ30-Low,DJ30-Close,DJ30-Volume
10,12/16/15,33.150002,33.880001,32.91,33.779999,33.779999,12689400,5033.47998,5078.990234,4992.629883,5071.129883,2036610000,2046.5,2076.719971,2042.430054,2073.070068,4635450000,17530.84961,17784.35938,17483.67969,17749.08984,123790000
11,12/15/15,32.529999,33.389999,32.5,33.029999,33.029999,16187300,4991.209961,5026.540039,4986.990234,4995.359863,2054710000,2025.550049,2053.870117,2025.550049,2043.410034,4353540000,17374.7793,17627.63086,17341.17969,17524.91016,123430000
12,12/14/15,32.939999,33.27,32.209999,32.59,32.59,15949600,4932.609863,4953.600098,4871.589844,4952.22998,2216060000,2013.369995,2022.920044,1993.26001,2021.939941,4612440000,17277.10938,17378.01953,17138.4707,17368.5,142540000
13,12/11/15,34.009998,34.150002,32.82,32.91,32.91,14936200,4979.77002,4996.189941,4928.669922,4933.470215,2084950000,2047.27002,2047.27002,2008.800049,2012.369995,4301060000,17574.75,17574.75,17230.5,17265.21094,134510000
14,12/10/15,34.490002,34.73,33.91,34.630001,34.630001,16128800,5026.299805,5075.649902,5019.310059,5045.169922,1746520000,2047.930054,2067.649902,2045.670044,2052.22998,3715150000,17493.16992,17697.74023,17474.66016,17574.75,107310000
15,12/9/15,35.799999,35.84,33.150002,34.400002,34.400002,45101900,5077.209961,5106.370117,5000.120117,5022.870117,2003450000,2061.169922,2080.330078,2036.530029,2047.619995,4385250000,17558.17969,17767.68945,17403.50977,17492.30078,122020000
16,12/8/15,34.240002,34.98,34.029999,34.849998,34.849998,19852600,5050.52002,5111.72998,5045.72998,5098.240234,1871450000,2073.389893,2073.850098,2052.320068,2063.590088,4173570000,17703.99023,17703.99023,17485.39063,17568,113720000
17,12/7/15,34.759998,34.919998,34.470001,34.68,34.68,12047900,5139.459961,5139.779785,5082.22998,5101.810059,1952690000,2090.419922,2090.419922,2066.780029,2077.070068,4043820000,17845.49023,17845.49023,17639.25,17730.50977,99670000
18,12/4/15,34.34,35.200001,34.18,34.91,34.91,16109600,5050.930176,5147,5043.490234,5142.27002,1897490000,2051.23999,2093.840088,2051.23999,2091.689941,4214910000,17482.67969,17866.4707,17482.67969,17847.63086,137650000
19,12/3/15,35.59,35.720001,34.099998,34.34,34.34,17080500,5143.160156,5144.600098,5011.720215,5037.529785,2088100000,2080.709961,2085,2042.349976,2049.620117,4306490000,17741.57031,17780.58984,17425.56055,17477.66992,126990000
20,12/2/15,35,36.389999,34.77,35.650002,35.650002,56708100,5158.819824,5176.77002,5117.149902,5123.220215,2060340000,2101.709961,2104.27002,2077.110107,2079.51001,3950640000,17883.14063,17901.58008,17708.19922,17729.67969,102860000
21,12/1/15,33.869999,33.889999,33.470001,33.709999,33.709999,11020400,5129.640137,5156.310059,5120.169922,5156.310059,2035570000,2082.929932,2103.370117,2082.929932,2102.629883,3712120000,17719.7207,17895.5,17719.7207,17888.34961,103880000
22,11/30/15,33.029999,33.830002,32.849998,33.810001,33.810001,17534700,5139.580078,5141.359863,5098.700195,5108.669922,2223880000,2090.949951,2093.810059,2080.409912,2080.409912,4245030000,17802.83984,17837.24023,17719.78906,17719.91992,155560000
23,11/27/15,32.790001,33.09,32.439999,32.939999,32.939999,5316100,5121.930176,5134.350098,5108.509766,5127.52002,781730000,2088.820068,2093.290039,2084.129883,2090.110107,1466840000,17806.03906,17830.35938,17749.32031,17813.39063,82540000
24,11/25/15,32.77,33.52,32.75,33.16,33.16,13257200,5106.870117,5124.089844,5101.180176,5116.140137,1539300000,2089.300049,2093,2086.300049,2088.870117,2852940000,17820.81055,17854.91992,17801.83008,17813.39063,82540000
25,11/24/15,33.09,33.189999,32.610001,32.959999,32.959999,13364700,5070.660156,5110.75,5050.140137,5102.810059,1956920000,2084.419922,2094.120117,2070.290039,2089.139893,3884930000,17770.90039,17862.59961,17683.50977,17812.18945,127170000
26,11/23/15,33,33.869999,32.869999,33.360001,33.360001,11899700,5106.720215,5128.080078,5084.850098,5102.47998,1668280000,2089.409912,2095.610107,2081.389893,2086.590088,3587980000,17823.60938,17868.17969,17751.5293,17792.67969,134680000
27,11/20/15,32.860001,33.299999,32.689999,33.110001,33.110001,12498500,5096.959961,5112.459961,5094.319824,5104.919922,1766630000,2082.820068,2097.060059,2082.820068,2089.169922,3929600000,17732.75,17914.33984,17732.75,17823.81055,153140000
28,11/19/15,33.209999,33.5,32.580002,32.630001,32.630001,14222100,5078.669922,5092.459961,5067.27002,5073.640137,1794110000,2083.699951,2086.73999,2078.76001,2081.23999,3628110000,17739.83008,17772.9707,17681.98047,17732.75,114630000
29,11/18/15,32.889999,33.02,32.32,32.98,32.98,11105600,5004.600098,5078.799805,5001.669922,5075.200195,2017390000,2051.98999,2085.310059,2051.98999,2083.580078,3926390000,17485.49023,17752.16016,17485.49023,17737.16016,106810000
30,11/17/15,33.009998,33.119999,32.619999,32.860001,32.860001,10270400,4991.709961,5023.450195,4975.740234,4986.02002,1861710000,2053.669922,2066.689941,2045.900024,2050.439941,4427350000,17486.99023,17599.33008,17451.41016,17489.5,167190000
31,11/16/15,32.23,32.990002,32.119999,32.950001,32.950001,11087800,4916.140137,4984.910156,4908.660156,4984.620117,1819190000,2022.079956,2053.219971,2019.390015,2053.189941,3741240000,17229.93945,17483.00977,17210.42969,17483.00977,137590000
32,11/13/15,32.779999,33.040001,32.169998,32.189999,32.189999,11063300,4980.859863,4989.060059,4925.350098,4927.879883,2001050000,2044.640015,2044.640015,2022.02002,2023.040039,4278750000,17439.25,17439.25,17238.89063,17245.24023,134640000
33,11/12/15,33.200001,33.849998,33.130001,33.23,33.23,14273100,5043.100098,5062.490234,5004.459961,5005.080078,1820930000,2072.290039,2072.290039,2045.660034,2045.969971,4016370000,17691.92969,17691.92969,17443.5,17448.07031,113660000
34,11/11/15,34.209999,34.23,33.029999,33.380001,33.380001,11804100,5098.129883,5111.189941,5066.680176,5067.02002,1672340000,2083.409912,2086.939941,2074.850098,2075,3692410000,17769.5,17807.17969,17696.91016,17702.2207,95230000
35,11/10/15,33.450001,34.130001,33.259998,33.990002,33.990002,11511000,5068.549805,5086.879883,5051.220215,5083.240234,1906120000,2077.189941,2083.669922,2069.909912,2081.719971,3821440000,17724.13086,17768.66016,17657.7207,17758.21094,108640000
36,11/9/15,34.07,34.080002,33.080002,33.68,33.68,13645500,5128.939941,5133.439941,5066.100098,5095.299805,1850770000,2096.560059,2096.560059,2068.23999,2078.580078,3882350000,17900.7793,17900.7793,17667.7793,17730.48047,121210000
37,11/6/15,34.939999,35.200001,33.459999,34.200001,34.200001,16608600,5124.040039,5147.120117,5092.870117,5147.120117,2066430000,2098.600098,2101.909912,2083.73999,2099.199951,4369020000,17855.2207,17912.03906,17768.59961,17910.33008,107450000
38,11/5/15,35.02,35.299999,34.16,35.119999,35.119999,15679100,5144.149902,5154.859863,5098.490234,5127.740234,2054490000,2101.679932,2108.780029,2090.409912,2099.929932,4051890000,17871.25,17929.50977,17779.18945,17863.42969,98910000
39,11/4/15,34.889999,35.240002,34.75,35.07,35.07,17501800,5155.620117,5162.569824,5122.779785,5142.47998,2096110000,2110.600098,2114.590088,2096.97998,2102.310059,4078870000,17929.58008,17964.11914,17828.83008,17867.58008,99890000
40,11/3/15,35.150002,35.34,34.650002,34.720001,34.720001,12394300,5114.310059,5163.470215,5109.680176,5145.129883,2028630000,2102.629883,2116.47998,2097.51001,2109.790039,4272060000,17819.74023,17977.84961,17796.01953,17918.15039,92290000
41,11/2/15,35.459999,35.48,35.07,35.27,35.27,15206700,5065.640137,5130.509766,5061.470215,5127.149902,1888180000,2080.76001,2106.199951,2080.76001,2104.050049,3760020000,17672.61914,17845.90039,17655.01953,17828.75977,100840000
42,10/30/15,35.139999,35.700001,35.049999,35.619999,35.619999,17418900,5079.759766,5085.220215,5053.75,5053.75,2016390000,2090,2094.320068,2079.340088,2079.360107,4256200000,17756.59961,17799.96094,17662.86914,17663.53906,149250000
43,10/29/15,34.869999,35.150002,34.700001,35.049999,35.049999,10796200,5071.040039,5084.629883,5066.890137,5074.27002,1928310000,2088.350098,2092.52002,2082.629883,2089.409912,4008940000,17771.5,17786,17684.7207,17755.80078,90300000
44,10/28/15,34.299999,35.27,34.299999,35.189999,35.189999,15174300,5040.379883,5095.689941,5019.600098,5095.689941,2141130000,2066.47998,2090.350098,2063.110107,2090.350098,4698110000,17586.68945,17779.94922,17556.71094,17779.51953,115630000
45,10/27/15,34.970001,35.470001,33.880001,34.299999,34.299999,26380900,5018.990234,5040.080078,5009.069824,5030.149902,1986840000,2068.75,2070.370117,2058.840088,2065.889893,4216880000,17608.89063,17635.17969,17540.57031,17581.42969,113960000
46,10/26/15,33.130001,33.490002,33,33.400002,33.400002,15810300,5030.799805,5045.160156,5012.740234,5034.700195,1758690000,2075.080078,2075.139893,2066.530029,2071.179932,3385800000,17649.57031,17660.69922,17602.50977,17623.05078,116660000
47,10/23/15,32.650002,33.360001,32.240002,33.169998,33.169998,24308600,5024.379883,5048.549805,4999.540039,5031.859863,2178270000,2058.189941,2079.73999,2058.189941,2075.149902,4108460000,17525.10938,17679.36914,17525.10938,17646.69922,158090000
48,10/22/15,31.26,31.9,31.209999,31.67,31.67,18501200,4875.959961,4926.990234,4861.799805,4920.049805,2156040000,2021.880005,2055.199951,2021.880005,2052.51001,4430850000,17180.88086,17505.17969,17180.88086,17489.16016,152420000
49,10/21/15,32.060001,32.43,31.01,31.120001,31.120001,30390400,4903.97998,4904.850098,4836.459961,4840.120117,1895390000,2033.469971,2037.969971,2017.219971,2018.939941,3627790000,17225.92969,17314.99023,17153.13086,17168.60938,107100000
50,10/20/15,33.490002,33.59,32.77,32.830002,32.830002,18644700,4900.02002,4909.370117,4866.600098,4880.970215,1711700000,2033.130005,2039.119995,2026.609985,2030.77002,3331500000,17228.4707,17264.88086,17147.99023,17217.10938,106670000
51,10/19/15,33.259998,33.630001,33.18,33.5,33.5,10856500,4873.540039,4915.490234,4865.830078,4905.470215,1619920000,2031.72998,2034.449951,2022.310059,2033.660034,3287320000,17209.42969,17235.94922,17129.18945,17230.53906,118430000
